Time,HR,Temp,BVP,x,y,z
00:04:06,77.9,38.97,13.29,-8,8,63
00:04:07,77.72,38.97,8.87,-7,7,63
00:04:08,77.55,38.97,5.06,-6,8,63
00:04:09,77.4,38.93,1.89,-6,8,63
00:04:10,77.28,38.93,-0.62,-6,8,63
00:04:11,77.15,38.93,-2.47,-5,8,62
00:04:12,77.02,38.93,-3.79,-5,8,62
00:04:13,76.85,38.93,-4.69,-5,8,62
00:04:14,76.7,38.93,-5.28,-6,8,62
00:04:15,76.53,38.93,-5.63,-6,8,63
00:04:16,76.4,38.93,-5.8,-7,7,64
00:04:17,76.27,38.91,-5.85,-6,6,64
00:04:18,76.15,38.91,-5.83,-6,6,64
00:04:19,76.03,38.91,-5.73,-6,6,63
00:04:20,75.92,38.91,-5.55,-6,6,63
00:04:21,75.83,38.89,-5.36,-6,6,62
00:04:22,75.8,38.89,-5.18,-6,6,63
00:04:23,75.78,38.89,-5.01,-6,7,63
00:04:24,75.77,38.89,-4.86,-5,6,63
00:04:25,75.75,38.84,-4.72,-6,6,63
00:04:26,75.7,38.84,-4.57,-6,6,63
00:04:27,75.65,38.84,-4.38,-6,7,63
00:04:28,75.6,38.84,-4.16,-6,7,63
00:04:29,75.53,38.83,-3.88,-6,7,63
00:04:30,75.43,38.83,-3.59,-6,7,63
00:04:31,75.33,38.83,-3.31,-6,6,63
00:04:32,75.2,38.83,-3.06,-7,6,63
00:04:33,75.12,38.83,-2.89,-7,6,63
00:04:34,75.03,38.83,-2.84,-7,6,63
00:04:35,74.98,38.83,-2.96,-7,6,63
00:04:36,74.95,38.83,-3.27,-7,6,63
00:04:37,74.93,38.79,-3.78,-7,6,64
00:04:38,74.92,38.79,-4.5,-7,6,63
00:04:39,74.95,38.79,-5.41,-8,6,63
00:04:40,75.02,38.79,-6.45,-7,6,63
00:04:41,75.12,38.77,-7.55,-7,6,63
00:04:42,75.25,38.77,-8.64,-7,7,63
00:04:43,75.4,38.77,-9.61,-7,7,63
00:04:44,75.57,38.77,-10.36,-7,7,63
00:04:45,75.75,38.73,-10.78,-7,7,63
00:04:46,75.95,38.73,-10.8,-7,7,63
00:04:47,76.12,38.73,-10.35,-7,7,63
00:04:48,76.28,38.73,-9.41,-6,7,62
00:04:49,76.43,38.71,-8,-6,7,62
00:04:50,76.55,38.71,-6.19,-6,7,62
00:04:51,76.67,38.71,-4.1,-6,7,63
00:04:52,76.75,38.71,-1.87,-7,8,63
00:04:53,76.82,38.71,0.33,-7,7,63
00:04:54,76.85,38.71,2.33,-8,7,64
00:04:55,76.9,38.71,3.93,-8,7,63
00:04:56,76.97,38.71,5.01,-7,7,63
00:04:57,77.03,38.68,5.44,-7,7,63
00:04:58,77.08,38.68,5.18,-7,6,62
00:04:59,77.08,38.68,4.24,-6,6,63
00:05:00,77.1,38.68,2.66,-6,6,63
00:05:01,77.12,38.66,0.52,-4,5,64
00:05:02,77.13,38.66,-2.09,-5,5,64
00:05:03,77.13,38.66,-5.11,-7,6,64
00:05:04,77.12,38.66,-8.46,-8,6,64
00:05:05,77.08,38.66,-12.07,-11,1,63
00:05:06,77.05,38.66,-15.86,-13,-3,60
00:05:07,77.03,38.66,-19.75,-14,8,63
00:05:08,77.02,38.66,-23.59,-15,10,60
00:05:09,76.98,38.61,-27.32,-19,13,59
00:05:10,76.92,38.61,-30.88,-18,14,57
00:05:11,76.85,38.61,-34.3,-17,16,57
00:05:12,76.8,38.61,-37.66,-16,15,59
00:05:13,76.77,38.61,-41.09,-14,11,59
00:05:14,76.72,38.61,-44.71,-14,12,58
00:05:15,76.63,38.61,-48.58,-16,15,61
00:05:16,76.52,38.61,-52.7,-16,14,61
00:05:17,76.42,38.57,-57,-14,13,63
00:05:18,76.33,38.57,-61.39,-12,12,65
00:05:19,76.27,38.57,-65.78,-10,12,65
00:05:20,76.2,38.57,-70.21,-9,12,63
00:05:21,76.12,38.57,-74.74,-9,11,62
00:05:22,76.02,38.57,-79.5,-11,11,59
00:05:23,75.93,38.57,-84.55,-9,12,59
00:05:24,75.88,38.57,-89.84,-7,13,59
00:05:25,75.85,38.55,-95.1,-7,13,61
00:05:26,75.82,38.55,-99.9,-8,13,64
00:05:27,75.77,38.55,-103.76,-8,12,64
00:05:28,75.72,38.55,-106.26,-9,12,63
00:05:29,75.67,38.53,-107.19,-10,12,63
00:05:30,75.67,38.53,-106.59,-9,11,62
00:05:31,75.67,38.53,-104.66,-10,11,62
00:05:32,75.67,38.53,-101.6,-9,11,62
00:05:33,75.63,38.53,-97.42,-9,11,62
00:05:34,75.6,38.53,-91.87,-9,11,63
00:05:35,75.58,38.53,-84.57,-10,10,62
00:05:36,75.57,38.53,-75.19,-9,10,62
00:05:37,75.57,38.49,-63.84,-9,10,63
00:05:38,75.55,38.49,-51.23,-9,10,63
00:05:39,75.52,38.49,-38.69,-9,11,62
00:05:40,75.47,38.49,-27.87,-8,11,62
00:05:41,75.42,38.49,-20.19,-8,11,62
00:05:42,75.4,38.49,-16.4,-9,11,62
00:05:43,75.37,38.49,-16.36,-9,11,62
00:05:44,75.33,38.49,-19.11,-9,11,62
00:05:45,75.32,38.47,-23.45,-9,11,62
00:05:46,75.3,38.47,-28.52,-9,11,62
00:05:47,75.3,38.47,-34.34,-9,10,63
00:05:48,75.33,38.47,-41.82,-9,10,62
00:05:49,75.38,38.45,-52.45,-9,11,63
00:05:50,75.43,38.45,-67.55,-9,11,62
00:05:51,75.47,38.45,-87.55,-8,11,63
00:05:52,75.53,38.45,-111.75,-9,10,62
00:05:53,75.58,38.45,-138.61,-9,10,61
00:05:54,75.63,38.45,-166.37,-8,11,61
00:05:55,75.67,38.45,-193.83,-8,11,62
00:05:56,75.68,38.45,-220.84,-8,11,63
00:05:57,75.68,38.41,-248.31,-9,11,63
00:05:58,75.68,38.41,-277.78,-8,11,63
00:05:59,75.7,38.41,-311.2,-7,12,63
00:06:00,75.7,38.41,-350.55,-7,12,63
00:06:01,75.7,38.41,-397.36,-7,12,62
00:06:02,75.7,38.41,-451.67,-6,12,62
00:06:03,75.72,38.41,-510.88,-7,13,61
00:06:04,75.73,38.41,-569.01,-6,13,61
00:06:05,75.75,38.37,-617.39,-8,12,61
00:06:06,75.75,38.37,-647.02,-3,14,63
00:06:07,75.78,38.37,-651.62,-3,15,63
00:06:08,75.82,38.37,-630.18,-2,16,62
00:06:09,75.88,38.37,-587.31,-2,16,62
00:06:10,75.95,38.37,-531.4,-7,15,62
00:06:11,76.02,38.37,-471.19,-7,18,62
00:06:12,76.1,38.37,-412.85,-3,20,62
00:06:13,76.18,38.37,-358.7,-5,20,61
00:06:14,76.28,38.37,-307.94,-4,23,60
00:06:15,76.4,38.37,-258.74,-4,26,62
00:06:16,76.52,38.37,-209.95,-4,30,59
00:06:17,76.62,38.33,-161.86,-4,32,60
00:06:18,76.7,38.33,-115.8,-7,34,59
00:06:19,76.77,38.33,-73.03,-11,41,54
00:06:20,76.83,38.33,-34.07,-11,43,55
00:06:21,76.88,38.33,1.38,-8,47,50
00:06:22,76.92,38.33,33.92,-13,54,48
00:06:23,76.95,38.33,63.93,-14,57,48
00:06:24,76.98,38.33,91.27,-12,57,47
00:06:25,77,38.31,115.18,-3,57,47
00:06:26,77.03,38.31,134.92,-1,57,47
00:06:27,77.08,38.31,150.15,1,53,41
00:06:28,77.13,38.31,161.38,4,52,37
00:06:29,77.2,38.31,169.87,2,50,30
00:06:30,77.25,38.31,177.09,2,50,26
00:06:31,77.3,38.31,184.03,5,48,21
00:06:32,77.35,38.31,190.64,6,47,19
00:06:33,77.4,38.29,195.81,9,50,17
00:06:34,77.45,38.29,197.84,11,52,16
00:06:35,77.48,38.29,195.31,11,57,13
00:06:36,77.5,38.29,187.69,11,59,11
00:06:37,77.48,38.29,175.61,12,64,7
00:06:38,77.47,38.29,160.47,15,63,7
00:06:39,77.45,38.29,143.86,15,62,8
00:06:40,77.43,38.29,126.85,16,61,8
00:06:41,77.43,38.29,109.71,17,60,9
00:06:42,77.4,38.29,92,18,58,11
00:06:43,77.38,38.29,73.12,20,57,10
00:06:44,77.4,38.29,52.82,21,57,9
00:06:45,77.4,38.29,31.59,21,56,7
00:06:46,77.4,38.29,10.61,24,60,5
00:06:47,77.4,38.29,-8.57,40,58,7
00:06:48,77.38,38.29,-24.62,28,54,0
00:06:49,77.37,38.23,-36.85,20,57,-2
00:06:50,77.37,38.23,-45.33,22,60,1
00:06:51,77.37,38.23,-50.81,24,69,0
00:06:52,77.35,38.23,-54.29,29,55,2
00:06:53,77.33,38.23,-56.72,22,59,-3
00:06:54,77.33,38.23,-58.68,31,59,0
00:06:55,77.35,38.23,-60.32,27,55,-2
00:06:56,77.37,38.23,-61.56,25,58,-7
00:06:57,77.38,38.21,-62.19,28,64,-7
00:06:58,77.38,38.21,-62.1,28,59,-8
00:06:59,77.4,38.21,-61.3,30,58,-15
00:07:00,77.42,38.21,-59.83,31,58,-14
00:07:01,77.45,38.18,-57.72,27,57,-15
00:07:02,77.48,38.18,-54.84,27,53,-18
00:07:03,77.5,38.18,-50.97,31,54,-17
00:07:04,77.5,38.18,-45.92,31,54,-18
00:07:05,77.52,38.18,-39.69,32,51,-19
00:07:06,77.55,38.18,-32.56,36,52,-14
